cell,level,s05,s07,s08,changed_vs_s07,entered_vs_s07,left_vs_s07
NQ/RTH/B0/1day/S-C_q0.80,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/1day/S-B_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ,True,M3_HARJ,
NQ/RTH/B0/1day/S-B_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,False,,
NQ/RTH/B0/1day/S-C_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ,True,M3_HARJ,
NQ/RTH/B0/1day/S-C_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ|M6_PARK,M2_HAR,M2_HAR|M3_HARJ|M6_PARK,True,M3_HARJ|M6_PARK,
NQ/RTH/B0/1h/S-A,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B0/1h/S-A,90,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B0/1h/S-B_q0.80,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B0/1h/S-B_q0.80,90,M1_EWMA|M2_HAR|M4_HARQ,M1_EWMA|M2_HAR,M1_EWMA|M2_HAR,False,,
NQ/RTH/B0/1h/S-C_q0.80,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B0/1h/S-C_q0.80,90,M2_HAR|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/1h/S-B_q0.90,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B0/1h/S-B_q0.90,90,M2_HAR|M4_HARQ,M1_EWMA|M2_HAR,M2_HAR,True,,M1_EWMA
NQ/RTH/B0/1h/S-C_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ,True,M3_HARJ,
NQ/RTH/B0/1h/S-C_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/30min/S-A,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/30min/S-A,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/30min/S-B_q0.80,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ,True,M3_HARJ,
NQ/RTH/B0/30min/S-B_q0.80,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/30min/S-C_q0.80,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/30min/S-C_q0.80,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/30min/S-B_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/30min/S-B_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/30min/S-C_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B0/30min/S-C_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/1day/S-A,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1day/S-A,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1day/S-B_q0.80,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1day/S-B_q0.80,90,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M1_EWMA|M2_HAR|M3_HARJ,True,M1_EWMA|M3_HARJ,
NQ/RTH/B1/1day/S-C_q0.80,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1day/S-C_q0.80,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,True,M1_EWMA|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,
NQ/RTH/B1/1day/S-B_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,True,M1_EWMA|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,
NQ/RTH/B1/1day/S-B_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,M1_EWMA|M2_HAR|M3_HARJ|M4_HARQ|M6_GK|M6_PARK,False,,
NQ/RTH/B1/1day/S-C_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ,True,M3_HARJ,
NQ/RTH/B1/1day/S-C_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ|M6_PARK,M2_HAR,M2_HAR|M3_HARJ|M6_GK|M6_PARK,True,M3_HARJ|M6_GK|M6_PARK,
NQ/RTH/B1/1h/S-A,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1h/S-A,90,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1h/S-B_q0.80,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1h/S-B_q0.80,90,M2_HAR|M4_HARQ,M1_EWMA|M2_HAR,M2_HAR,True,,M1_EWMA
NQ/RTH/B1/1h/S-C_q0.80,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1h/S-C_q0.80,90,M2_HAR|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/1h/S-B_q0.90,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1h/S-B_q0.90,90,M2_HAR|M4_HARQ,M2_HAR,M2_HAR,False,,
NQ/RTH/B1/1h/S-C_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/1h/S-C_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/30min/S-A,75,M2_HAR|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/30min/S-A,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/30min/S-B_q0.80,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ,True,M3_HARJ,
NQ/RTH/B1/30min/S-B_q0.80,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/30min/S-C_q0.80,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/30min/S-C_q0.80,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/30min/S-B_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ,True,M3_HARJ,
NQ/RTH/B1/30min/S-B_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/30min/S-C_q0.90,75,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
NQ/RTH/B1/30min/S-C_q0.90,90,M2_HAR|M3_HARJ|M4_HARQ,M2_HAR,M2_HAR|M3_HARJ|M4_HARQ,True,M3_HARJ|M4_HARQ,
